"GEO_ID","NAME","GEO_ID_F","NAICS2017","INDLEVEL","NAICS2017_LABEL","SUBSECTOR","SECTOR","NAICS2017_F","INDGROUP","SEX","SEX_LABEL","ETH_GROUP","ETH_GROUP_LABEL","RACE_GROUP","RACE_GROUP_LABEL","VET_GROUP","VET_GROUP_LABEL","EMPSZFI","EMPSZFI_LABEL","YEAR","FIRMPDEMP","RCPPDEMP","EMP","PAYANN","FIRMPDEMP_S","RCPPDEMP_S","EMP_S","PAYANN_S"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","020","Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","12523","10688294","83449","2601817","5.9","4.3","5.6","6.3"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","020","Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","8516","14105603","116479","3506384","6.0","16.2","6.7","10.7"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","020","Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","4205","16456658","128274","4273929","10.1","21.6","9.9","11.9"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","020","Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","1233","10476572","82901","2470157","27.9","37.2","27.7","26.2"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","020","Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","676","8086935","94252","2285518","47.9","42.3","47.1","46.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","020","Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2018","144","4170047","53573","1546183","50.0","47.5","53.3","49.3"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","020","Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2018","60","8093114","71094","1982917","2.7","0.7","0.6","0.2"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","020","Hispanic","00","Total","001","Total","611","Firms with no employees","2018","25936","11979483","0","1361786","5.6","25.6","0.0","5.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","020","Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","110145","47365819","221420","8090345","1.7","4.3","2.6","5.3"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","020","Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","34623","34827981","228162","7795923","3.5","6.1","3.7","6.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","020","Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","20624","42165628","275507","9723818","5.9","18.3","6.0","9.0"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","020","Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","12406","55366928","365908","12762325","6.6","7.6","6.1","4.7"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","020","Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","3586","42634220","243577","9073328","14.7","21.2","14.7","17.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","020","Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","1609","50000353","225570","9140563","23.1","23.7","22.8","21.9"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","020","Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2018","266","12454937","98763","3432913","29.6","31.7","30.6","52.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","020","Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2018","231","28977714","298883","9162435","26.9","6.7","25.6","8.2"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","020","Hispanic","00","Total","001","Total","611","Firms with no employees","2018","4465","1537865","0","182466","11.8","26.3","0.0","9.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","020","Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","19280","8183508","39012","1193588","4.4","10.0","5.6","6.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","020","Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","6055","6475600","40343","1234738","12.8","20.0","12.1","17.3"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","020","Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","4615","6859747","62224","1795373","7.5","9.8","7.0","8.4"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","020","Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","2561","8422617","76861","2385139","15.6","17.3","17.8","16.7"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","020","Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","020","Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","140","1649484","16117","399270","73.5","46.4","70.0","58.0"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","020","Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2018","7","242599","2716","80201","42.0","1.0","22.3","0.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","020","Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2018","16","935764","17726","307606","10.0","1.4","2.6","2.0"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","611","Firms with no employees","2018","6052","1918626","0","320143","5.7","7.3","0.0","11.4"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","24407","9999659","50380","1834662","4.0","7.7","3.4","6.1"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","8344","8140922","55691","2007593","9.2","13.3","9.7","15.2"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","5541","10154280","74986","2541937","9.8","13.3","10.1","10.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","3642","13501907","109196","3853473","11.1","15.7","10.5","16.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","734","5242216","47729","1614379","37.3","41.2","37.5","41.2"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","S","S","50,000 to 99,999 employees","S","S","S","S","S"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2018","33","3435283","42213","1048654","4.9","1.4","1.5","1.0"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","611","Firms with no employees","2018","202","46764","0","9930","30.9","28.3","0.0","12.4"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","1068","398403","2432","72687","26.0","25.9","22.9","25.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","D","D","100 to 249 employees","D","D","D","D","D"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","D","D","5,000 to 9,999 employees","D","D","D","D","D"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","611","Firms with no employees","2018","936","402017","0","62356","15.5","17.6","0.0","6.8"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","4919","2283934","10556","492904","10.3","16.0","10.3","15.4"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","1767","2162821","11637","477046","13.8","22.3","14.0","17.8"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","1229","3204143","17183","726495","18.0","27.4","17.6","22.4"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","1107","6723737","34796","1883349","29.5","33.9","30.5","37.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","003","Male","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2018","11","1584461","15157","354142","14.6","1.9","0.4","1.3"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","611","Firms with no employees","2018","4914","1469845","0","247857","7.5","9.1","0.0","13.4"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","18420","7317322","37392","1269070","4.9","8.7","5.9","6.2"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","6114","5670951","40985","1445839","12.8","17.8","13.2","22.2"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","3929","6320636","52713","1664229","10.8","12.0","12.1","14.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","2465","6618542","72786","1924352","13.5","24.9","12.5","18.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2018","4","63071","1395","21578","40.1","1.7","1.0","1.4"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","004","Equally male/female","028","Equally Hispanic/non-Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2018","23","1850822","27056","694513","7.0","1.0","2.1","0.8"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","029","Non-Hispanic","00","Total","001","Total","611","Firms with no employees","2018","656569","284091140","0","45270893","0.9","2.9","0.0","1.7"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","029","Non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","2544156","1135897807","5067204","205630263","0.2","0.6","0.3","1.1"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","029","Non-Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","855586","972177428","5644630","226852241","0.5","1.2","0.5","1.1"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","029","Non-Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","543427","1255683887","7308878","299348933","1.0","2.2","0.9","0.9"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","029","Non-Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","347769","2103385409","10466092","451082560","1.3","5.4","1.4","1.5"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","029","Non-Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","99826","1764806521","6814793","316117315","3.3","7.7","3.2","3.7"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","029","Non-Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","50270","2218663649","7428477","371787798","4.5","8.8","4.5","5.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","029","Non-Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2018","12566","1236288212","4415027","212832553","6.5","9.1","6.2","8.7"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","001","Total","029","Non-Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2018","8042","2859505955","12861905","561018451","3.8","3.0","2.3","4.9"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","029","Non-Hispanic","00","Total","001","Total","611","Firms with no employees","2018","142685","47188068","0","8548371","1.5","6.7","0.0","4.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","029","Non-Hispanic","00","Total","001","Total","612","Firms with 1 to 4 employees","2018","545293","190765366","1051190","37380517","1.1","2.5","1.0","2.8"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","029","Non-Hispanic","00","Total","001","Total","620","Firms with 5 to 9 employees","2018","177337","161863468","1172114","40470805","1.1","3.5","1.1","2.3"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","029","Non-Hispanic","00","Total","001","Total","630","Firms with 10 to 19 employees","2018","104412","175984012","1399242","47999373","2.7","4.0","2.8","3.6"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","029","Non-Hispanic","00","Total","001","Total","641","Firms with 20 to 49 employees","2018","59858","269916185","1767811","64500953","2.7","14.6","2.5","4.8"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","029","Non-Hispanic","00","Total","001","Total","642","Firms with 50 to 99 employees","2018","15591","201904406","1058649","41518314","6.1","10.7","6.3","7.2"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","029","Non-Hispanic","00","Total","001","Total","651","Firms with 100 to 249 employees","2018","6879","218080816","1014484","46025952","6.1","15.3","7.7","9.8"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","029","Non-Hispanic","00","Total","001","Total","652","Firms with 250 to 499 employees","2018","1586","146211092","551158","23715860","23.4","33.8","21.0","17.0"
"0100000US","United States","null","00","2","Total for all sectors","null","00","null","null","002","Female","029","Non-Hispanic","00","Total","001","Total","657","Firms with 500 employees or more","2018","1050","272164969","1393222","55502182","8.2","3.8","4.3","7.3"
