"GEO_ID","GEO_ID_F","NAME","NAICS2017","NAICS2017_LABEL","SECTOR","INDLEVEL","NAICS2017_F","SUBSECTOR","INDGROUP","SEX","SEX_LABEL","ETH_GROUP","ETH_GROUP_LABEL","RACE_GROUP","RACE_GROUP_LABEL","VET_GROUP","VET_GROUP_LABEL","RCPSZFI","RCPSZFI_LABEL","QDESC","QDESC_LABEL","BUSCHAR","BUSCHAR_LABEL","YEAR","FIRMPDEMP","FIRMPDEMP_PCT","RCPPDEMP","RCPPDEMP_PCT","EMP","EMP_PCT","PAYANN","PAYANN_PCT","FIRMPDEMP_S","FIRMPDEMP_PCT_S","RCPPDEMP_S","RCPPDEMP_PCT_S","EMP_S","EMP_PCT_S","PAYANN_S","PAYANN_PCT_S"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","519","Firms with sales/receipts of $10,000 to $24,999","B01","OWNRNUM","BX","Unknown number of owners","2018","161","0.4","2732","0.4","1585","3.5","71350","6.3","35.6","0.1","39.4","0.1","13.7","7.7","19.5","12.5"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","519","Firms with sales/receipts of $10,000 to $24,999","B01","OWNRNUM","BY","Total reporting","2018","42812","100.0","736198","100.0","44821","100.0","1139730","100.0","2.4","0.0","2.7","0.0","10.5","0.0","21.4","0.0"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","519","Firms with sales/receipts of $10,000 to $24,999","B01","OWNRNUM","BZ","Item not reported","2018","2707","X","47069","X","24784","X","664353","X","10.1","X","10.6","X","87.2","X","82.4","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","521","Firms with sales/receipts of $25,000 to $49,999","B01","OWNRNUM","A1","All firms","2018","214105","X","7993433","X","243524","X","5612759","X","1.6","X","1.8","X","5.5","X","31.3","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","521","Firms with sales/receipts of $25,000 to $49,999","B01","OWNRNUM","BQ","1 person","2018","63421","73.3","2377206","73.5","64579","67.0","1014459","58.0","2.4","0.7","2.5","0.8","4.2","1.6","5.4","7.3"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","521","Firms with sales/receipts of $25,000 to $49,999","B01","OWNRNUM","BQ01","2 to 4 people","2018","21596","25.0","806482","24.9","28817","29.9","591363","33.8","2.9","0.7","3.4","0.8","5.6","1.3","30.2","7.4"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","521","Firms with sales/receipts of $25,000 to $49,999","B01","OWNRNUM","BQ02","5 to 10 people","2018","606","0.7","22107","0.7","867","0.9","40759","2.3","22.3","0.2","20.9","0.1","24.2","0.2","51.2","1.2"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","521","Firms with sales/receipts of $25,000 to $49,999","B01","OWNRNUM","BQ03","11 or more people","2018","506","0.6","17736","0.5","1022","1.1","69836","4.0","17.7","0.1","18.5","0.1","24.6","0.5","34.8","2.8"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","521","Firms with sales/receipts of $25,000 to $49,999","B01","OWNRNUM","BX","Unknown number of owners","2018","336","0.4","12950","0.4","1095","1.1","33474","1.9","20.1","0.1","23.7","0.1","25.9","0.7","40.0","2.1"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","521","Firms with sales/receipts of $25,000 to $49,999","B01","OWNRNUM","BY","Total reporting","2018","86465","100.0","3236481","100.0","96380","100.0","1749892","100.0","2.0","0.0","2.0","0.0","3.3","0.0","11.2","0.0"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","521","Firms with sales/receipts of $25,000 to $49,999","B01","OWNRNUM","BZ","Item not reported","2018","5577","X","205707","X","6749","X","85675","X","4.4","X","4.2","X","9.5","X","9.6","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","522","Firms with sales/receipts of $50,000 to $99,999","B01","OWNRNUM","A1","All firms","2018","481615","X","35783909","X","642540","X","12197323","X","1.1","X","1.1","X","2.7","X","3.4","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","522","Firms with sales/receipts of $50,000 to $99,999","B01","OWNRNUM","BQ","1 person","2018","157348","73.0","11760771","73.0","195730","68.0","3700864","68.2","1.2","0.2","1.2","0.3","2.2","0.7","1.2","2.3"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","522","Firms with sales/receipts of $50,000 to $99,999","B01","OWNRNUM","BQ01","2 to 4 people","2018","55998","26.0","4186996","26.0","84966","29.5","1384885","25.5","1.4","0.2","1.5","0.2","2.0","0.5","3.4","1.0"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","522","Firms with sales/receipts of $50,000 to $99,999","B01","OWNRNUM","BQ02","5 to 10 people","2018","984","0.5","71429","0.4","2300","0.8","44436","0.8","15.9","0.1","17.5","0.1","34.6","0.3","24.4","0.2"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","522","Firms with sales/receipts of $50,000 to $99,999","B01","OWNRNUM","BQ03","11 or more people","2018","754","0.3","55435","0.3","3453","1.2","247709","4.6","18.8","0.1","18.9","0.1","53.8","0.6","69.3","3.0"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","522","Firms with sales/receipts of $50,000 to $99,999","B01","OWNRNUM","BX","Unknown number of owners","2018","438","0.2","34188","0.2","1310","0.5","45291","0.8","23.4","0.0","27.9","0.1","53.8","0.2","75.6","0.6"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","522","Firms with sales/receipts of $50,000 to $99,999","B01","OWNRNUM","BY","Total reporting","2018","215517","100.0","16108818","100.0","287760","100.0","5423184","100.0","1.2","0.0","1.1","0.0","2.0","0.0","3.7","0.0"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","522","Firms with sales/receipts of $50,000 to $99,999","B01","OWNRNUM","BZ","Item not reported","2018","10268","X","755753","X","17297","X","274951","X","6.0","X","5.5","X","7.9","X","7.0","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","523","Firms with sales/receipts of $100,000 to $249,999","B01","OWNRNUM","A1","All firms","2018","1147044","X","193778410","X","2316429","X","56347154","X","0.9","X","0.9","X","0.8","X","1.0","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","523","Firms with sales/receipts of $100,000 to $249,999","B01","OWNRNUM","BQ","1 person","2018","382027","69.4","64564171","69.0","722401","64.2","19084195","67.5","0.9","0.3","1.0","0.3","1.6","0.7","1.4","0.7"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","523","Firms with sales/receipts of $100,000 to $249,999","B01","OWNRNUM","BQ01","2 to 4 people","2018","162068","29.4","27875954","29.8","383143","34.1","8421499","29.8","1.5","0.3","1.6","0.3","2.1","0.7","1.6","0.6"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","523","Firms with sales/receipts of $100,000 to $249,999","B01","OWNRNUM","BQ02","5 to 10 people","2018","2985","0.5","519470","0.6","9000","0.8","228767","0.8","7.3","0.0","6.1","0.0","13.6","0.1","15.8","0.1"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","523","Firms with sales/receipts of $100,000 to $249,999","B01","OWNRNUM","BQ03","11 or more people","2018","1544","0.3","264297","0.3","6566","0.6","432769","1.5","11.8","0.0","12.6","0.0","21.1","0.2","22.5","0.6"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","523","Firms with sales/receipts of $100,000 to $249,999","B01","OWNRNUM","BX","Unknown number of owners","2018","1848","0.3","297846","0.3","3613","0.3","99799","0.4","8.7","0.0","8.2","0.0","9.6","0.0","10.3","0.0"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","523","Firms with sales/receipts of $100,000 to $249,999","B01","OWNRNUM","BY","Total reporting","2018","550472","100.0","93521738","100.0","1124723","100.0","28267028","100.0","0.9","0.0","1.0","0.0","1.1","0.0","1.1","0.0"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","523","Firms with sales/receipts of $100,000 to $249,999","B01","OWNRNUM","BZ","Item not reported","2018","25162","X","4230503","X","64262","X","1293043","X","3.5","X","2.9","X","4.8","X","6.4","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","525","Firms with sales/receipts of $250,000 to $499,999","B01","OWNRNUM","A1","All firms","2018","1107078","X","399008699","X","4042017","X","111556988","X","0.7","X","0.8","X","1.6","X","1.4","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","525","Firms with sales/receipts of $250,000 to $499,999","B01","OWNRNUM","BQ","1 person","2018","351409","63.9","126659170","63.7","1143462","57.8","36181121","62.3","0.9","0.4","1.1","0.4","1.3","0.7","1.0","0.7"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","525","Firms with sales/receipts of $250,000 to $499,999","B01","OWNRNUM","BQ01","2 to 4 people","2018","190079","34.5","69018940","34.7","792866","40.1","20506855","35.3","1.2","0.4","1.4","0.4","2.2","0.7","2.0","0.6"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","525","Firms with sales/receipts of $250,000 to $499,999","B01","OWNRNUM","BQ02","5 to 10 people","2018","4299","0.8","1597288","0.8","19819","1.0","541448","0.9","6.3","0.1","6.3","0.1","14.6","0.1","12.3","0.1"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","525","Firms with sales/receipts of $250,000 to $499,999","B01","OWNRNUM","BQ03","11 or more people","2018","2299","0.4","877327","0.4","10369","0.5","603372","1.0","10.0","0.0","10.4","0.0","7.6","0.1","13.0","0.3"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","525","Firms with sales/receipts of $250,000 to $499,999","B01","OWNRNUM","BX","Unknown number of owners","2018","2194","0.4","792792","0.4","10884","0.6","280562","0.5","8.9","0.0","10.3","0.0","24.2","0.1","11.9","0.1"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","525","Firms with sales/receipts of $250,000 to $499,999","B01","OWNRNUM","BY","Total reporting","2018","550284","100.0","198945518","100.0","1977399","100.0","58113359","100.0","0.5","0.0","0.6","0.0","0.9","0.0","0.5","0.0"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","525","Firms with sales/receipts of $250,000 to $499,999","B01","OWNRNUM","BZ","Item not reported","2018","21887","X","7839295","X","86303","X","2523642","X","3.2","X","3.2","X","5.4","X","9.8","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","531","Firms with sales/receipts of $500,000 to $999,999","B01","OWNRNUM","A1","All firms","2018","973877","X","692682524","X","6102056","X","193199832","X","0.8","X","0.9","X","0.6","X","0.9","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","531","Firms with sales/receipts of $500,000 to $999,999","B01","OWNRNUM","BQ","1 person","2018","284998","56.7","201451650","56.2","1596656","51.8","57412904","55.5","1.1","0.4","1.1","0.3","1.5","0.7","1.2","0.6"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","531","Firms with sales/receipts of $500,000 to $999,999","B01","OWNRNUM","BQ01","2 to 4 people","2018","204987","40.8","147206898","41.1","1382807","44.9","42358334","40.9","1.3","0.3","1.2","0.3","2.3","0.8","1.9","0.6"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","531","Firms with sales/receipts of $500,000 to $999,999","B01","OWNRNUM","BQ02","5 to 10 people","2018","7605","1.5","5611028","1.6","59448","1.9","1719117","1.7","7.1","0.1","6.4","0.1","12.9","0.3","7.5","0.1"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","531","Firms with sales/receipts of $500,000 to $999,999","B01","OWNRNUM","BQ03","11 or more people","2018","2648","0.5","2003183","0.6","22983","0.7","1396953","1.4","12.1","0.1","11.8","0.1","19.7","0.2","43.1","0.6"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","531","Firms with sales/receipts of $500,000 to $999,999","B01","OWNRNUM","BX","Unknown number of owners","2018","2593","0.5","1914913","0.5","19792","0.6","575530","0.6","12.7","0.1","12.8","0.1","16.8","0.1","12.9","0.1"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","531","Firms with sales/receipts of $500,000 to $999,999","B01","OWNRNUM","BY","Total reporting","2018","502830","100.0","358187671","100.0","3081686","100.0","103462837","100.0","0.9","0.0","0.8","0.0","1.1","0.0","1.0","0.0"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","531","Firms with sales/receipts of $500,000 to $999,999","B01","OWNRNUM","BZ","Item not reported","2018","17135","X","12057526","X","119362","X","3691031","X","4.8","X","4.8","X","4.7","X","7.6","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","532","Firms with sales/receipts of $1,000,000 or more","B01","OWNRNUM","A1","All firms","2018","1607762","X","37073989899","X","114556253","X","6547163403","X","0.4","X","1.2","X","0.6","X","0.5","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","532","Firms with sales/receipts of $1,000,000 or more","B01","OWNRNUM","BQ","1 person","2018","341732","43.8","1862613517","10.4","7221011","15.1","335446808","11.2","1.1","1.3","1.6","61.2","1.4","59.1","1.7","61.2"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","532","Firms with sales/receipts of $1,000,000 or more","B01","OWNRNUM","BQ01","2 to 4 people","2018","369461","47.3","2213331946","12.3","8536643","17.8","404128154","13.5","0.9","1.4","3.3","91.9","1.9","80.8","3.2","85.1"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","532","Firms with sales/receipts of $1,000,000 or more","B01","OWNRNUM","BQ02","5 to 10 people","2018","32402","4.1","405951888","2.3","1331411","2.8","72542449","2.4","3.1","0.1","8.0","14.5","5.1","10.5","4.3","12.9"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","532","Firms with sales/receipts of $1,000,000 or more","B01","OWNRNUM","BQ03","11 or more people","2018","23537","3.0","6020327397","33.5","13401056","27.9","983875070","32.9","3.9","1.1","0.9","60.9","0.8","51.4","0.9","51.7"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","532","Firms with sales/receipts of $1,000,000 or more","B01","OWNRNUM","BX","Unknown number of owners","2018","13817","1.8","7479316042","41.6","17486904","36.4","1197766592","40.0","3.8","1.1","1.0","85.6","0.5","79.7","0.4","86.9"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","532","Firms with sales/receipts of $1,000,000 or more","B01","OWNRNUM","BY","Total reporting","2018","780947","100.0","17981540790","100.0","47977025","100.0","2993759073","100.0","0.3","0.0","0.5","0.0","0.5","0.0","0.4","0.0"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","001","Total","001","Total","00","Total","001","Total","532","Firms with sales/receipts of $1,000,000 or more","B01","OWNRNUM","BZ","Item not reported","2018","42481","X","2925877131","X","7390288","X","452693674","X","2.8","X","3.2","X","1.3","X","1.7","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","002","Female","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","A1","All firms","2018","8344","X","20117","X","17119","X","777178","X","6.7","X","8.0","X","33.0","X","46.7","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","002","Female","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","BQ","1 person","2018","2165","75.4","5459","79.5","3358","46.1","125955","38.1","9.0","3.5","10.1","3.4","28.2","34.3","36.2","41.1"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","002","Female","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","BQ01","2 to 4 people","2018","659","22.9","1333","19.4","3772","51.8","190416","57.6","18.8","3.4","19.0","3.2","82.5","36.0","89.9","45.5"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","002","Female","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","BQ02","5 to 10 people","2018","D","D","D","D","0 to 19 employees","D","D","D","D","D","D","D","D","D","D","D"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","002","Female","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","BQ03","11 or more people","2018","S","S","S","S","100 to 249 employees","S","S","S","S","S","S","S","S","S","S","S"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","002","Female","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","BY","Total reporting","2018","2872","100.0","6869","100.0","7288","100.0","330317","100.0","8.3","0.0","8.7","0.0","42.1","0.0","49.7","0.0"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","002","Female","001","Total","00","Total","001","Total","511","Firms with sales/receipts of less than $5,000","B01","OWNRNUM","BZ","Item not reported","2018","249","X","576","X","123","X","2459","X","24.4","X","30.1","X","54.3","X","63.7","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","002","Female","001","Total","00","Total","001","Total","518","Firms with sales/receipts of $5,000 to $9,999","B01","OWNRNUM","A1","All firms","2018","9654","X","67036","X","8898","X","329280","X","10.2","X","9.9","X","18.1","X","7.2","X"
"0100000US","null","United States","00","Total for all sectors","00","2","null","null","null","002","Female","001","Total","00","Total","001","Total","518","Firms with sales/receipts of $5,000 to $9,999","B01","OWNRNUM","BQ","1 person","2018","3257","89.1","22984","89.3","3593","91.1","39934","93.1","8.9","3.5","9.8","3.8","17.7","5.0","28.8","5.7"
